endstationlatitude,endstationlongitude,endstationid,endstationname,startstationid
40.69475701363877,-73.99052739143372,233.0,Cadman Plaza W & Pierrepont St,2786
40.695065,-73.987167,392.0,Jay St & Tech Pl,58478
40.69512845,-73.99595065,406.0,Hicks St & Montague St,53729
40.69527008,-73.95238108,3063.0,Nostrand Ave & Myrtle Ave,10752
40.69539817,-73.94954908,3062.0,Myrtle Ave & Marcy Ave,17573
40.69573398,-73.97129668,421.0,Clermont Ave & Park Ave,17491
40.69580705,-73.97355569,419.0,Carlton Ave & Park Ave,22483
40.69597683,-73.99014892,232.0,Cadman Plaza E & Tillary St,41868
40.69608941,-73.97803415,119.0,Park Ave & St Edwards St,9789
40.69610226,-73.96751037,313.0,Washington Ave & Park Ave,40677
40.696191999999996,-73.991218,322.0,Clinton St & Tillary St,39491
40.69622937,-73.94371094,3061.0,Throop Ave & Myrtle Ave,8148
40.69681963,-73.93756926,3064.0,Myrtle Ave & Lewis Ave,37039
40.69760127,-73.99344559,391.0,Clark St & Henry St,60333
40.69766564,-73.98476437,278.0,Concord St & Bridge St,23989
40.697787,-73.973736,242.0,Carlton Ave & Flushing Ave,37379
40.69794,-73.96986848,343.0,Clinton Ave & Flushing Ave,33466
40.69795031569544,-73.97077560424805,3648.0,Flushing Ave & Vanderbilt Ave,15452
40.69839895,-73.98068914,144.0,Nassau St & Navy St,25434
40.698617,-73.941342,3179.0,Park Ave & Marcus Garvey Blvd,9416
40.69878,-73.99712,3180.0,Brooklyn Bridge Park - Pier 2,33064
40.69957608,-73.94708417,3066.0,Tompkins Ave & Hopkins St,14917
40.699773,-73.979927,2001.0,Sands St & Navy St,11968
40.69991755,-73.98971773,321.0,Cadman Plaza E & Red Cross Pl,56177
40.6999974843885,-73.97440128028394,3692.0,5 St & Market St,1885
40.70029511,-73.95032283,3065.0,Union Ave & Wallabout St,10861
40.70037867,-73.99548059,216.0,Columbia Heights & Cranberry St,18305
40.700469,-73.991454,407.0,Henry St & Poplar St,26441
40.70122128,-74.01234218,259.0,South St & Whitehall St,86633
40.70140317257725,-73.98672670125961,3674.0,Jay St & York St,28624
40.7014851,-73.98656928,430.0,York St & Jay St,62647
