,startstationid,startstationname
317,537.0,Lexington Ave & E 24 St
318,539.0,Metropolitan Ave & Bedford Ave
319,540.0,Lexington Ave & E 29 St
320,545.0,E 23 St & 1 Ave
321,546.0,E 30 St & Park Ave S
322,2000.0,Front St & Washington St
323,2001.0,Sands St & Navy St
324,2002.0,Wythe Ave & Metropolitan Ave
325,2003.0,1 Ave & E 18 St
326,2004.0,6 Ave & Broome St
327,2005.0,Railroad Ave & Kay Ave
328,2006.0,Central Park S & 6 Ave
329,2008.0,Little West St & 1 Pl
330,2009.0,Catherine St & Monroe St
331,2010.0,Grand St & Greene St
332,2012.0,E 27 St & 1 Ave
333,2017.0,E 43 St & 2 Ave
334,2021.0,W 45 St & 8 Ave
335,2022.0,E 60 St & York Ave
336,2023.0,E 55 St & Lexington Ave
337,3002.0,South End Ave & Liberty St
338,3014.0,3969.TEMP (Bike The Branches - Central Branch)
339,3016.0,Kent Ave & N 7 St
340,3017.0,NYCBS Depot - FAR
341,3036.0,8D OPS 01
342,3040.0,GOW Tech Shop
343,3040.0,Handlebar @ Gowanus
344,3040.0,SSP Tech Workshop
345,3041.0,Kingston Ave & Herkimer St
346,3042.0,Fulton St & Utica Ave
347,3043.0,Lewis Ave & Decatur St
348,3044.0,Albany Ave & Fulton St
349,3046.0,Marcus Garvey Blvd & Macon St
350,3047.0,Halsey St & Tompkins Ave
351,3048.0,Putnam Ave & Nostrand Ave
352,3049.0,Cambridge Pl & Gates Ave
353,3050.0,Putnam Ave & Throop Ave
354,3052.0,Lewis Ave & Madison St
355,3053.0,Marcy Ave & Lafayette Ave
356,3054.0,Greene Ave & Throop Ave
357,3055.0,Greene Ave & Nostrand Ave
358,3056.0,Kosciuszko St & Nostrand Ave
359,3057.0,Kosciuszko St & Tompkins Ave
360,3058.0,Lewis Ave & Kosciuszko St
361,3059.0,Pulaski St & Marcus Garvey Blvd
362,3060.0,Willoughby Ave & Tompkins Ave
363,3061.0,Throop Ave & Myrtle Ave
364,3062.0,Myrtle Ave & Marcy Ave
365,3063.0,Nostrand Ave & Myrtle Ave
366,3064.0,Myrtle Ave & Lewis Ave
367,3065.0,Union Ave & Wallabout St
368,3066.0,Tompkins Ave & Hopkins St
369,3067.0,Broadway & Whipple St
370,3068.0,Humboldt St & Varet St
371,3069.0,Lorimer St & Broadway
372,3070.0,McKibbin St & Manhattan Ave
373,3071.0,Boerum St & Broadway
374,3072.0,Leonard St & Boerum St
375,3073.0,Division Ave & Hooper St
376,3074.0,Montrose Ave & Bushwick Ave
377,3075.0,Division Ave & Marcy Ave
378,3076.0,Scholes St & Manhattan Ave
379,3077.0,Stagg St & Union Ave
380,3078.0,Broadway & Roebling St
381,3079.0,Leonard St & Grand St
382,3080.0,S 4 St & Rodney St
383,3081.0,Graham Ave & Grand St
384,3082.0,Hope St & Union Ave
385,3083.0,Bushwick Ave & Powers St
386,3084.0,Devoe St & Leonard St
387,3085.0,Roebling St & N 4 St
388,3086.0,Graham Ave & Conselyea St
389,3087.0,Metropolitan Ave & Meeker Ave
390,3088.0,Union Ave & Jackson St
391,3089.0,Leonard St & Meeker Ave
392,3090.0,N 8 St & Driggs Ave
393,3091.0,Frost St & Meeker St
394,3092.0,Berry St & N 8 St
395,3093.0,N 6 St & Bedford Ave
396,3094.0,Graham Ave & Withers St
397,3095.0,Graham Ave & Herbert St
398,3096.0,Union Ave & N 12 St
399,3097.0,N Henry St & Richardson St
400,3098.0,Leonard St & Bayard St
401,3099.0,Leonard St & Manhattan Ave
402,3100.0,Nassau Ave & Newell St
403,3101.0,N 12 St & Bedford Ave
404,3102.0,Driggs Ave & Lorimer St
405,3103.0,N 11 St & Wythe Ave
406,3104.0,Kent Ave & N 7 St
407,3104.0,KentAve&N7 St
408,3105.0,N 15 St & Wythe Ave
409,3106.0,Driggs Ave & N Henry St
410,3107.0,Bedford Ave & Nassau Ave
411,3108.0,Nassau Ave & Russell St
412,3109.0,Banker St & Meserole Ave
413,3110.0,Meserole Ave & Manhattan Ave
414,3111.0,Norman Ave & Leonard St
415,3111.0,Norman Ave & Leonard St - 2
416,3112.0,Milton St & Franklin St
417,3113.0,Greenpoint Ave & Manhattan Ave
418,3114.0,India St & East River
419,3115.0,India St & Manhattan Ave
420,3116.0,Huron St & Franklin St
421,3117.0,Franklin St & Dupont St
422,3118.0,McGuinness Blvd & Eagle St
423,3119.0,Vernon Blvd & 50 Ave
424,3120.0,Center Blvd & Borden Ave
425,3121.0,Jackson Ave & 46 Rd
426,3122.0,48 Ave & 5 St
427,3123.0,31 St & Thomson Ave
428,3124.0,46 Ave & 5 St
429,3125.0,45 Rd & 11 St
430,3126.0,44 Dr & Jackson Ave
431,3127.0,9 St & 44 Rd
432,3128.0,21 St & 43 Ave
433,3129.0,Queens Plaza North & Crescent St
434,3130.0,21 St & Queens Plaza North
435,3131.0,E 68 St & 3 Ave
436,3132.0,E 59 St & Madison Ave
437,3134.0,3 Ave & E 62 St
438,3135.0,E 75 St & 3 Ave
439,3136.0,5 Ave & E 63 St
440,3137.0,5 Ave & E 73 St
441,3138.0,E 77 St & Park Ave
442,3139.0,E 72 St & Park Ave
443,3140.0,1 Ave & E 78 St
444,3141.0,1 Ave & E 68 St
445,3142.0,1 Ave & E 62 St
446,3143.0,5 Ave & E 78 St
447,3144.0,E 81 St & Park Ave
448,3145.0,E 84 St & Park Ave
449,3146.0,E 81 St & 3 Ave
450,3147.0,E 85 St & 3 Ave
451,3148.0,E 84 St & 1 Ave
452,3150.0,E 85 St & York Ave
453,3151.0,E 81 St & York Ave
454,3152.0,3 Ave & E 71 St
455,3153.0,E 71 St & 2 Ave
456,3154.0,E 77 St & 3 Ave
457,3155.0,Lexington Ave & E 63 St
458,3156.0,E 72 St & York Ave
459,3157.0,East End Ave & E 86 St
460,3158.0,W 63 St & Broadway
461,3159.0,W 67 St & Broadway
462,3160.0,Central Park West & W 76 St
463,3161.0,W 76 St & Columbus Ave
464,3162.0,W 78 St & Broadway
465,3163.0,Central Park West & W 68 St
466,3164.0,Columbus Ave & W 72 St
467,3165.0,Central Park West & W 72 St
468,3166.0,Riverside Dr & W 72 St
469,3167.0,Amsterdam Ave & W 73 St
470,3168.0,Central Park West & W 85 St
471,3169.0,Riverside Dr & W 82 St
472,3170.0,W 84 St & Columbus Ave
473,3171.0,Amsterdam Ave & W 82 St
474,3172.0,W 74 St & Columbus Ave
475,3173.0,Riverside Blvd & W 67 St
476,3175.0,W 70 St & Amsterdam Ave
477,3176.0,W 64 St & West End Ave
478,3177.0,W 84 St & Broadway
479,3178.0,Riverside Dr & W 78 St
480,3179.0,Park Ave & Marcus Garvey Blvd
481,3180.0,Brooklyn Bridge Park - Pier 2
482,3182.0,Yankee Ferry Terminal
483,3197.0,Hs Don't Use
484,3215.0,JSQ Don't Use
485,3219.0,NYCBS Depot - STY
486,3221.0,47 Ave & 31 St
487,3222.0,Hanson Pl & St Felix St
488,3223.0,E 55 St & 3 Ave
489,3224.0,W 13 St & Hudson St
490,3226.0,W 82 St & Central Park West
491,3229.0,Marcy Ave & MacDonough St
492,3230.0,Penn Station Valet
493,3231.0,E 67 St & Park Ave
494,3232.0,Bond St & Fulton St
495,3233.0,E 48 St & 5 Ave
496,3234.0,E 40 St & Madison Ave
497,3235.0,E 41 St & Madison Ave
498,3236.0,PABT Valet
499,3236.0,W 42 St & Dyer Ave
500,3237.0,21 St & 41 Ave
501,3238.0,E 80 St & 2 Ave
502,3239.0,Bressler
503,3240.0,NYCBS Depot BAL - DYR
504,3241.0,Monroe St & Tompkins Ave
505,3242.0,Schermerhorn St & Court St
506,3243.0,E 58 St & 1 Ave
507,3244.0,University Pl & E 8 St
508,3245.0,"Industry City, Building 1 Basement"
509,3245.0,Kiosk in a box Motivate
510,3245.0,NYCBS DEPOT - DELANCEY
511,3246.0,Montague St & Clinton St
512,3248.0,LPI Facility
513,3249.0,Verona Pl & Fulton St
514,3250.0,NYCBS Depot - PIT
515,3252.0,Bike The Branches - Red Hook Branch
516,3253.0,Bike The Branches - Central Branch
517,3254.0,Soissons Landing
518,3255.0,8 Ave & W 31 St
519,3256.0,Pier 40 - Hudson River Park
520,3257.0,Adventures NYC
521,3258.0,W 27 St & 10 Ave
522,3259.0,9 Ave & W 28 St
523,3260.0,Mercer St & Bleecker St
524,3263.0,Cooper Square & Astor Pl
525,3263.0,Cooper Square & E 7 St
526,3264.0,E 61 St & Park Ave
527,3265.0,E 2 St & 2 Ave
528,3265.0,E 2 St & 2 Ave E
529,3266.0,Kiosk in a box Deployment
530,3282.0,5 Ave & E 88 St
531,3283.0,W 89 St & Columbus Ave
532,3284.0,E 88 St & Park Ave
533,3285.0,W 87 St  & Amsterdam Ave
534,3285.0,W 87 St & Amsterdam Ave
535,3286.0,E 89 St & 3 Ave
536,3287.0,W 87 St & West End Ave
537,3288.0,E 88 St & 1 Ave
538,3289.0,W 90 St & Amsterdam Ave
539,3290.0,E 89 St & York Ave
540,3291.0,Riverside Dr & W 91 St
541,3292.0,5 Ave & E 93 St
542,3293.0,W 92 St & Broadway
543,3294.0,E 91 St & Park Ave
544,3295.0,Central Park W & W 96 St
545,3296.0,E 93 St & 2 Ave
546,3297.0,6 St & 7 Ave
547,3298.0,Warren St & Court St
548,3299.0,E 98 St & Park Ave
549,3300.0,Prospect Park West & 8 St
550,3301.0,Columbus Ave & W 95 St
551,3302.0,Columbus Ave & W 103 St
552,3303.0,Butler St & Court St
553,3304.0,6 Ave & 9 St
554,3305.0,E 91 St & 2 Ave
555,3306.0,10 St & 7 Ave
556,3307.0,West End Ave & W 94 St
557,3308.0,Kane St & Clinton St
558,3309.0,E 97 St & 3 Ave
559,3310.0,14 St & 7 Ave
560,3311.0,Columbia St & Kane St
561,3312.0,1 Ave & E 94 St
562,3313.0,6 Ave & 12 St
563,3314.0,W 95 St & Broadway
564,3315.0,Henry St & Degraw St
565,3316.0,W 104 St & Amsterdam Ave
566,3316.0,W 104 St & Amsterdam Ave - 1
567,3317.0,10 St & 5 Ave
568,3318.0,2 Ave & E 96 St
569,3319.0,14 St & 5 Ave
570,3320.0,Central Park West & W 100 St
571,3321.0,Clinton St & Union St
572,3322.0,12 St & 4 Ave
573,3323.0,W 106 St & Central Park West
574,3324.0,3 Ave & 14 St
575,3325.0,E 95 St & 3 Ave
576,3326.0,Clinton St & Centre St
577,3327.0,3 Ave & E 100 St
578,3328.0,W 100 St & Manhattan Ave
579,3329.0,Degraw St & Smith St
580,3330.0,Henry St & Bay St
581,3331.0,Riverside Dr & W 104 St
582,3332.0,Degraw St & Hoyt St
583,3333.0,Columbia St & Lorraine St
584,3335.0,Union St & 4 Ave
585,3336.0,E 97 St & Madison Ave
586,3337.0,Dwight St & Van Dyke St
587,3338.0,2 Ave & E 99 St
588,3339.0,Berkeley Pl & 6 Ave
589,3340.0,Wolcott St & Dwight St
590,3341.0,Central Park West & W 102 St
591,3342.0,Pioneer St & Richards St
592,3343.0,W 107 St & Columbus Ave
593,3344.0,Pioneer St & Van Brunt St
594,3345.0,Madison Ave & E 99 St
595,3346.0,Berkeley Pl & 7 Ave
596,3347.0,Van Brunt St & Wolcott St
597,3348.0,Coffey St & Conover St
598,3349.0,Grand Army Plaza & Plaza St West
599,3350.0,W 100 St & Broadway
600,3351.0,E 102 St & 1 Ave
601,3352.0,Sigourney St & Columbia St
602,3353.0,Reed St & Van Brunt St
603,3354.0,3 St & Prospect Park West
604,3355.0,E 66 St & Madison Ave
605,3356.0,Amsterdam Ave & W 66 St
606,3357.0,W 106 St & Amsterdam Ave
607,3358.0,Garfield Pl & 8 Ave
608,3359.0,E 68 St & Madison Ave
609,3360.0,Amsterdam Ave & W 79 St
610,3361.0,Carroll St & 6 Ave
611,3362.0,Madison Ave & E 82 St
612,3363.0,E 102 St & Park Ave
613,3364.0,Carroll St & 5 Ave
614,3365.0,3 St & 7 Ave
615,3366.0,West End Ave & W 107 St
616,3367.0,5 Ave & E 103 St
617,3368.0,5 Ave & 3 St
618,3369.0,E 82 St & East End Ave
619,3370.0,78 St & 2 Ave
620,3370.0,E 78 St & 2 Ave
621,3371.0,4 Ave & 2 St
622,3372.0,E 74 St & 1 Ave
623,3373.0,3 St & 3 Ave
624,3374.0,Central Park North & Adam Clayton Powell Blvd
625,3375.0,3 Ave & E 72 St
626,3376.0,E 65 St & 2 Ave
